CLOSE,percentage_change
419.2,
421.5,0.0054866412213741
426.75,0.01245551601423478
428.8,0.004803749267721091
417.2,-0.027052238805970186
418.85,0.003954937679770065
418.65,-0.00047749791094675587
419.75,0.0026274931326883966
412.9,-0.016319237641453266
420.25,0.01780092031969005
425.95,0.01356335514574658
429.5,0.008334311538912953
430.35,0.001979045401629964
429.6,-0.0017427675148135036
432.25,0.006168528864059608
421.45,-0.02498554077501447
427.2,0.013643374065725578
432.25,0.011821161048689133
433.6,0.003123192596876878
439.65,0.013952952029520294
437.25,-0.005458887751620511
432.55,-0.010748999428244699
424.35,-0.018957345971563955
422.05,-0.005420054200542035
425.2,0.007463570666982555
413.55,-0.027398871119473145
412.35,-0.0029017047515415006
412.05,-0.0007275372862859397
401.2,-0.02633175585487202
384.55,-0.04150049850448645
384.4,-0.0003900663112730296
382.25,-0.005593132154006142
383.1,0.0022236756049707207
360.45,-0.05912294440093979
367.7,0.02011374670550703
364.65,-0.008294805548001105
361.7,-0.008089949266419816
358.25,-0.009538291401714138
355.55,-0.007536636427076027
355.4,-0.0004218815918999308
351.5,-0.01097355092853114
350.6,-0.0025604551920340723
353.5,0.008271534512264589
359.4,0.016690240452616578
363.4,0.01112966054535347
353.05,-0.028481012658227778
344.3,-0.024784024925647907
336.45,-0.022799883822248068
336.65,0.0005944419676029433
329.5,-0.02123867518193967
331.15,0.005007587253414103
339.9,0.02642307111580844
342.7,0.008237716975581177
341.0,-0.004960606944849677
328.85,-0.03563049853372424
353.0,0.0734377375703208
355.6,0.007365439093484527
358.55,0.00829583802024736
350.55,-0.022312090363965975
353.55,0.008557980316645342
370.65,0.04836656767076786
364.3,-0.017132065290705434
360.8,-0.009607466373867668
357.2,-0.009977827050997812
355.2,-0.005599104143337086
359.85,0.013091216216216228
372.7,0.035709323329164766
367.0,-0.015293801985511113
371.15,0.011307901907356976
367.1,-0.010912030176478349
368.15,0.0028602560610186956
378.55,0.028249354882520894
383.9,0.014132875445779902
381.1,-0.007293566032820942
387.7,0.017318289162949307
387.6,-0.00025793139025009904
389.6,0.005159958720330149
383.65,-0.015272073921971385
395.65,0.03127850905773499
405.05,0.023758372298748887
394.2,-0.02678681644241454
394.95,0.0019025875190259445
390.15,-0.012153437143942347
407.25,0.04382929642445221
406.25,-0.0024554941682013443
395.6,-0.02621538461538453
389.5,-0.0154196157735087
399.55,0.025802310654685634
415.2,0.03916906519834806
411.75,-0.008309248554913218
402.35,-0.022829386763812964
406.95,0.011432832111345714
393.15,-0.033910799852561735
390.15,-0.007630675314765356
392.25,0.005382545174932751
394.8,0.006500956022944537
397.05,0.005699088145896702
393.1,-0.009948369223019782
355.1,-0.09666751462732126
335.95,-0.053928470853280897
333.1,-0.008483405268641109
310.7,-0.0672470729510658
282.1,-0.09205020920502083
282.35,0.0008862105636298079
275.65,-0.023729413848061043
280.95,0.01922728097224735
283.7,0.009788218544224847
294.85,0.039302079661614586
302.55,0.026114973715448464
298.6,-0.013055693273839042
294.45,-0.013898191560616335
303.85,0.031923925963661226
307.25,0.011189731775547163
306.8,-0.0014646053702196404
292.5,-0.04661016949152541
282.5,-0.03418803418803418
286.0,0.012389380530973382
287.7,0.005944055944056004
285.05,-0.009210983663538341
281.75,-0.011576916330468423
281.05,-0.002484472049689379
279.4,-0.00587084148728001
